iter,candidate_fit,best_fit,accepted,len
0,0.0000,0.0000,0,9
1,0.0000,0.0000,0,10
2,0.0000,0.0000,0,9
3,0.0000,0.0000,0,9
4,-10790.6500,0.0000,0,9
5,0.0000,0.0000,0,9
6,0.0000,0.0000,0,9
7,0.0000,0.0000,0,10
8,-10790.6500,0.0000,0,9
9,0.0000,0.0000,0,9
10,0.0000,0.0000,0,9
11,0.0000,0.0000,0,9
12,0.0000,0.0000,0,9
13,0.0000,0.0000,0,8
14,16.4990,16.4990,1,9
15,16.4990,16.4990,0,9
16,37.9544,37.9544,1,10
17,17.5415,37.9544,0,11
18,47.1048,47.1048,1,10
19,47.1048,47.1048,0,9
20,47.1048,47.1048,0,10
21,15.3313,47.1048,0,11
22,-10817.7500,47.1048,0,10
23,-10790.5500,47.1048,0,10
24,41.2130,47.1048,0,10
25,47.1048,47.1048,0,11
26,47.1048,47.1048,0,11
27,47.1048,47.1048,0,10
28,17.5415,47.1048,0,11
29,15.4831,47.1048,0,10
30,-4.9644,47.1048,0,10
31,36.6322,47.1048,0,10
32,0.0000,47.1048,0,10
33,47.1048,47.1048,0,10
34,47.1048,47.1048,0,11
35,-4.9644,47.1048,0,10
36,5.1031,47.1048,0,10
37,40.6627,47.1048,0,10
38,47.1048,47.1048,0,9
39,47.1048,47.1048,0,10
40,47.1048,47.1048,0,10
41,47.1048,47.1048,0,10
42,47.1048,47.1048,0,10
43,47.1048,47.1048,0,10
44,47.1048,47.1048,0,10
45,21.2177,47.1048,0,10
46,41.2130,47.1048,0,10
47,11.4730,47.1048,0,10
48,21.2177,47.1048,0,10
49,47.1048,47.1048,0,10
50,33.4517,47.1048,0,10
51,47.1048,47.1048,0,10
52,0.0000,47.1048,0,10
53,47.1048,47.1048,0,11
54,15.3313,47.1048,0,10
55,5.1031,47.1048,0,9
56,46.9503,47.1048,0,10
57,47.1048,47.1048,0,10
58,5.1031,47.1048,0,10
59,47.1048,47.1048,0,11
60,-22.8526,47.1048,0,10
61,0.0000,47.1048,0,10
62,47.1048,47.1048,0,10
63,5.7875,47.1048,0,10
64,47.1162,47.1162,1,10
65,47.1162,47.1162,0,10
66,47.1162,47.1162,0,9
67,47.1162,47.1162,0,9
68,0.0000,47.1162,0,10
69,47.1162,47.1162,0,10
70,11.4730,47.1162,0,10
71,47.1162,47.1162,0,10
72,-10790.6500,47.1162,0,10
73,47.1162,47.1162,0,9
74,0.0000,47.1162,0,9
75,-10790.5500,47.1162,0,10
76,47.1162,47.1162,0,10
77,47.1162,47.1162,0,11
78,47.1162,47.1162,0,11
79,-41.6374,47.1162,0,10
80,-4.9644,47.1162,0,10
81,47.1162,47.1162,0,9
82,11.4730,47.1162,0,10
83,47.1162,47.1162,0,10
84,47.1162,47.1162,0,10
85,47.1162,47.1162,0,10
86,47.1162,47.1162,0,10
87,-4.9644,47.1162,0,10
88,47.1162,47.1162,0,11
89,47.1162,47.1162,0,11
90,47.1162,47.1162,0,9
91,-4.9644,47.1162,0,9
92,41.6973,47.1162,0,11
93,33.4517,47.1162,0,11
94,47.1162,47.1162,0,9
95,-4.9644,47.1162,0,10
96,0.0000,47.1162,0,10
97,47.1162,47.1162,0,10
98,47.1162,47.1162,0,10
99,11.4730,47.1162,0,10
100,-32.3432,47.1162,0,10
101,-10790.5500,47.1162,0,11
102,-4.9644,47.1162,0,10
103,47.1162,47.1162,0,11
104,0.0000,47.1162,0,10
105,47.1162,47.1162,0,9
106,47.1162,47.1162,0,9
107,-4.9644,47.1162,0,9
108,30.9867,47.1162,0,10
109,0.0000,47.1162,0,10
110,-6.9683,47.1162,0,10
111,47.1162,47.1162,0,10
112,47.1162,47.1162,0,10
113,-50.5488,47.1162,0,10
114,32.5611,47.1162,0,10
115,-13.0926,47.1162,0,10
116,-4.9644,47.1162,0,9
117,47.1162,47.1162,0,9
118,0.0000,47.1162,0,10
119,11.4730,47.1162,0,9
120,-32.3432,47.1162,0,10
121,47.1162,47.1162,0,9
122,46.3558,47.1162,0,10
123,47.1162,47.1162,0,10
124,47.1162,47.1162,0,11
125,30.9867,47.1162,0,10
126,47.1162,47.1162,0,10
127,15.7339,47.1162,0,10
128,0.0000,47.1162,0,10
129,47.1162,47.1162,0,10
130,47.1162,47.1162,0,10
131,-32.3432,47.1162,0,10
132,-41.6374,47.1162,0,10
133,-10790.5500,47.1162,0,10
134,47.1162,47.1162,0,9
135,-10790.5500,47.1162,0,10
136,47.1162,47.1162,0,11
137,-12.0473,47.1162,0,10
138,-32.3432,47.1162,0,11
139,-70.7139,47.1162,0,10
140,-6.9683,47.1162,0,10
141,47.1162,47.1162,0,11
142,41.2130,47.1162,0,11
143,-4.9644,47.1162,0,10
144,0.0000,47.1162,0,10
145,47.1162,47.1162,0,9
146,47.1162,47.1162,0,10
147,41.6973,47.1162,0,10
148,11.4730,47.1162,0,9
149,47.1162,47.1162,0,11
150,47.1162,47.1162,0,11
151,-12.0473,47.1162,0,10
152,47.1162,47.1162,0,11
153,47.1162,47.1162,0,10
154,-10790.5500,47.1162,0,10
155,0.0000,47.1162,0,10
156,47.1162,47.1162,0,10
157,-4.9644,47.1162,0,9
158,-10790.5500,47.1162,0,10
159,-10790.5500,47.1162,0,10
160,47.1162,47.1162,0,10
161,47.1162,47.1162,0,11
162,47.1162,47.1162,0,9
163,47.1162,47.1162,0,10
