iter,best_avalanche,best_balance,best_period,best_chisq,best_length,best_composite,accepted,beats_ref
0,17.2490,31.6094,4096,268.1250,9,-104.0941,1,0
1,17.2490,31.6094,4096,268.1250,9,-104.0941,2,0
2,17.2490,31.6094,4096,268.1250,9,-104.0941,3,0
3,17.2490,31.6094,4096,268.1250,9,-104.0941,4,0
4,17.2490,31.6094,4096,268.1250,9,-104.0941,5,0
5,17.2490,31.6094,4096,268.1250,9,-104.0941,6,0
6,17.2490,31.6094,4096,268.1250,9,-104.0941,7,0
7,17.2490,31.6094,4096,268.1250,9,-104.0941,7,0
8,17.2490,31.6094,4096,268.1250,9,-104.0941,8,0
9,17.2490,31.6094,4096,268.1250,9,-104.0941,9,0
10,17.2490,31.6094,4096,268.1250,9,-104.0941,10,0
11,17.2490,31.6094,4096,268.1250,9,-104.0941,10,0
12,17.2490,31.6094,4096,268.1250,9,-104.0941,11,0
13,17.2490,31.6094,4096,268.1250,9,-104.0941,11,0
14,17.2490,31.6094,4096,268.1250,9,-104.0941,11,0
15,17.2490,31.6094,4096,268.1250,9,-104.0941,12,0
16,17.2490,31.6094,4096,268.1250,9,-104.0941,12,0
17,17.2490,31.6094,4096,268.1250,9,-104.0941,12,0
18,17.2490,31.6094,4096,268.1250,9,-104.0941,13,0
19,17.2490,31.6094,4096,268.1250,9,-104.0941,14,0
20,17.2490,31.6094,4096,268.1250,9,-104.0941,15,0
21,17.2490,31.6094,4096,268.1250,9,-104.0941,16,0
22,17.2490,31.6094,4096,268.1250,9,-104.0941,17,0
23,17.2490,31.6094,4096,268.1250,9,-104.0941,18,0
24,17.2490,31.6094,4096,268.1250,9,-104.0941,19,0
25,17.2490,31.6094,4096,268.1250,9,-104.0941,19,0
26,17.2490,31.6094,4096,268.1250,9,-104.0941,19,0
27,17.2490,31.6094,4096,268.1250,9,-104.0941,20,0
28,17.2490,31.6094,4096,268.1250,9,-104.0941,21,0
29,17.2490,31.6094,4096,268.1250,9,-104.0941,22,0
30,17.2490,31.6094,4096,268.1250,9,-104.0941,23,0
31,17.2490,31.6094,4096,268.1250,9,-104.0941,24,0
32,17.2490,31.6094,4096,268.1250,9,-104.0941,25,0
33,17.2490,31.6094,4096,268.1250,9,-104.0941,25,0
34,17.2490,31.6094,4096,268.1250,9,-104.0941,26,0
35,17.2490,31.6094,4096,268.1250,9,-104.0941,27,0
36,17.2490,31.6094,4096,268.1250,9,-104.0941,28,0
37,17.2490,31.6094,4096,268.1250,9,-104.0941,29,0
38,24.3157,32.1055,4096,256.5000,10,-32.3856,30,0
39,24.3157,32.1055,4096,256.5000,10,-32.3856,31,0
40,24.3157,32.1055,4096,256.5000,10,-32.3856,32,0
41,24.3157,32.1055,4096,256.5000,10,-32.3856,33,0
42,24.3157,32.1055,4096,256.5000,10,-32.3856,34,0
43,24.3157,32.1055,4096,256.5000,10,-32.3856,35,0
44,24.3157,32.1055,4096,256.5000,10,-32.3856,36,0
45,24.3157,32.1055,4096,256.5000,10,-32.3856,37,0
46,24.3157,32.1055,4096,256.5000,10,-32.3856,38,0
47,24.3157,32.1055,4096,256.5000,10,-32.3856,39,0
48,24.3157,32.1055,4096,256.5000,10,-32.3856,40,0
49,24.3157,32.1055,4096,256.5000,10,-32.3856,41,0
50,24.3157,32.1055,4096,256.5000,10,-32.3856,42,0
51,24.3157,32.1055,4096,256.5000,10,-32.3856,43,0
52,24.3157,32.1055,4096,256.5000,10,-32.3856,44,0
53,24.3157,32.1055,4096,256.5000,10,-32.3856,45,0
54,24.3157,32.1055,4096,256.5000,10,-32.3856,46,0
55,24.3157,32.1055,4096,256.5000,10,-32.3856,47,0
56,24.3157,32.1055,4096,256.5000,10,-32.3856,48,0
57,24.3157,32.1055,4096,256.5000,10,-32.3856,48,0
58,24.3157,32.1055,4096,256.5000,10,-32.3856,48,0
59,24.3157,32.1055,4096,256.5000,10,-32.3856,49,0
60,24.3157,32.1055,4096,256.5000,10,-32.3856,50,0
61,24.3157,32.1055,4096,256.5000,10,-32.3856,50,0
62,24.3157,32.1055,4096,256.5000,10,-32.3856,50,0
63,24.3157,32.1055,4096,256.5000,10,-32.3856,51,0
64,24.3157,32.1055,4096,256.5000,10,-32.3856,52,0
